00349	train
016b5	train
0184c	train
019ba	train
0224d	train
023c3	train
024f4	train
02578	train
02b89	train
02f82	train
03500	test
03b7a	train
045af	train
05d76	dev
06105	train
0622a	train
06d5c	train
0766f	train
08a49	train
09537	train
09bf2	train
09ecc	train
0a2fe	train
0a38f	train
0b370	train
0b586	train
0bd84	dev
0c839	train
0e1e0	train
0e353	train
0e375	train
0e86b	train
0eade	train
0eea5	train
0eee9	train
0fcb7	train
10824	dev
11528	train
11742	train
12204	train
13abb	train
14f37	train
156fe	train
1575e	train
15cf5	train
15e2b	train
17bfd	train
190e9	train
1913e	train
199c3	train
1a1f3	train
1a317	test
1afa7	train
1b014	train
1c3b9	train
1ccf9	train
1d339	train
1db0f	test
1f5ff	train
202fc	train
206b6	train
21138	train
21459	train
225dc	train
227d7	train
231ca	train
23329	train
237ce	train
237d4	train
23c9f	train
23e9b	train
23e9e	train
252fd	train
25717	train
271cb	train
284b7	train
290a8	train
295d7	train
29f4f	train
2a1cd	train
2a845	train
2b212	train
2bc1e	train
2bdfd	test
2d52b	train
2db87	train
2df96	train
2e076	train
2e800	train
2e893	test
2ea36	train
2f415	train
2fff2	train
30026	train
3062b	train
30661	train
309ce	train
3139c	train
3183b	train
32337	train
32358	train
3386d	train
338ff	train
33901	train
346c1	train
3489d	train
349a2	train
34e11	train
34e38	train
34e56	train
356c8	train
357e6	train
361fc	train
37790	train
39029	train
39cc4	train
3a747	dev
3a976	train
3b15d	train
3be3a	train
3bfb3	train
3d027	train
3d532	train
3d705	train
3dd78	train
3e0de	train
3eb66	train
3f57d	train
3f5d5	train
3fa09	train
3fcd4	train
40381	train
40953	train
409ee	train
40a63	train
40e62	train
41947	train
41a77	train
42cde	train
43121	train
43324	train
438c8	train
44978	train
44e28	train
456e2	train
45f15	train
45feb	train
462e8	train
466d8	train
46a48	train
476be	train
47746	train
4801b	train
4a53b	train
4a724	train
4b05c	train
4b127	train
4b1be	train
4b1d7	train
4b215	train
4b5d0	train
4e81e	train
4f068	train
4f3cd	train
501f8	train
51515	train
52af9	train
52dbc	train
53c73	train
54242	train
54c3a	dev
5556c	train
55ab9	dev
55c20	dev
574a5	train
58355	train
589b0	train
59778	train
5a4cf	train
5a51f	train
5afae	train
5b275	train
5b471	train
5c543	train
5d099	train
5dec9	train
6054f	train
6064f	train
60906	train
60ae5	train
646e1	train
64af4	test
65469	train
655f4	train
663e8	train
67c8b	train
68b8a	train
6996c	train
6a26f	train
6b5e6	train
6c5e8	train
6dcd3	train
6e111	train
6e92f	train
6f51b	train
6fa50	train
70278	test
715da	train
71b3e	train
72337	train
72b54	train
72f9d	train
7374d	train
73ec9	train
7424f	train
74475	test
746ff	train
75985	test
7599b	train
760be	train
76999	train
7710d	train
77895	train
778ef	train
77b4b	train
781ce	train
781cf	train
78366	train
791e8	train
7ab05	train
7b332	train
7b561	train
7ba10	train
7d7d0	train
7d982	train
7db06	train
7e3d4	train
7ec98	train
7f4b1	train
80862	test
81570	train
82082	train
84048	dev
84afe	train
85aeb	train
85ebd	train
87c4c	train
880bc	train
8827b	test
88a58	train
88c80	train
89130	train
8957e	train
89830	train
89f4f	train
8af08	train
8af52	train
8b124	train
8b8a4	train
8c558	train
8c9bc	train
8e63d	train
8e991	train
8eb5c	train
8f885	train
8fa6b	train
9094b	train
9125c	train
912d1	train
91403	train
91589	train
91fdf	train
92637	train
92649	train
936a6	train
937dc	train
93c65	train
94b34	train
95423	train
95589	train
95997	train
96564	test
97d0a	train
98088	train
9a1ed	train
9d5b3	train
9e6d1	train
9f1f5	test
a0028	train
a08e7	test
a13a8	train
a1577	train
a360d	train
a3a6a	train
a3d94	train
a3fac	train
a4315	train
a4fcc	train
a5886	train
a624d	train
a6493	train
a6a62	train
a742b	train
a7708	train
a7b6a	dev
a7c07	train
a7d05	train
a973b	train
a9c56	train
aa29c	train
ab81c	train
abbea	train
ac562	train
ac581	train
acbee	train
ad58a	train
ae3ff	train
af4ca	train
b0095	train
b06d1	train
b136f	train
b1a64	train
b3777	train
b3a0c	train
b3dda	train
b6388	train
b6ca9	train
b704b	train
b7054	train
b7163	train
b7510	train
b796c	train
b8589	train
b8a97	train
b9679	train
b9dc2	train
ba1f0	train
babec	train
bac38	test
bae1a	train
bafa0	train
bb0e6	train
bba51	train
bc55f	train
bced5	train
bd2b2	train
be173	train
be2e9	train
be341	train
be485	train
be843	train
bfb80	train
c04d5	train
c094f	train
c11e1	train
c1691	train
c1715	train
c1c21	train
c2201	train
c26e2	train
c26ed	train
c28da	train
c34c2	train
c3bd0	train
c4922	train
c5a59	train
c5b76	train
c696a	train
c6a4f	train
c6f6b	train
c8454	train
c8784	train
c95d0	train
cb1fe	train
cb54b	train
cc423	train
cc837	test
ccf7a	train
cd0b3	train
ce816	train
ce989	train
cf582	train
cf7b2	train
d0123	train
d1b3d	train
d1c44	train
d23af	train
d2f72	train
d316f	train
d4430	dev
d4fa9	train
d52f0	train
d6ab0	train
d6c85	train
d6ccd	train
d6d03	train
d71b2	dev
d7784	test
d78dd	train
d7f61	train
d945d	train
d94a9	train
d9b9c	train
