en_us	10004088536354799741.wav	0.000	A tornado is a spinning column of very low-pressure air, which sucks the surrounding air inward and upward.
en_us	10012216926115652402.wav	0.067	Former U.S. Speaker of the House Newt Gingrich came in second with 32%.
en_us	10035729252730569448.wav	0.087	The island was first inhabited by the Tianos and Caribes. The Caribes were an Arakwakan-speaking people who had arrived around 10,000 BCE.
en_us	10038239648789136007.wav	0.000	These nerve impulses can be sent so quickly throughout the body, which helps keep the body safe from any potential threat.
en_us	10038782309165056980.wav	0.000	On September 24, 1759, Arthur Guinness signed a 9,000-year lease for the St. James Gate Brewery in Dublin, Ireland.
en_us	10041973057502883658.wav	0.000	Today, Timbuktu is an impoverished town, although its reputation makes it a tourist attraction, and it has an airport.
en_us	10045215346264155892.wav	0.000	With the same time zone as Hawaii, the islands are sometimes thought of as Hawaii down under.
en_us	10045464480702227987.wav	0.074	Hokuriku Electric Power Co. reported no effects from the earthquake, and that the number one and two reactors at its Shika nuclear power plant were shut down.
en_us	10048972069970749159.wav	0.067	Masa is due to be out for at least the rest of the 2009 season.
en_us	100511566475978219.wav	0.000	Pittman suggested that conditions wouldn't improve until sometime next week.
en_us	10051780222731246788.wav	0.000	Followers pursue certain ways of living or practices that are intended to nurture those experiences.
en_us	10055191986589907747.wav	0.040	The protest started around 11:00 local time UTC+1, on Whitrahole opposite the police-guarded entrance to Downing Street, the Prime Minister's official residence.
en_us	10057816219934969363.wav	0.037	The Amazon River is the second-longest and the biggest river on Earth. It carries more than eight times as much water as the second-biggest river.
en_us	10061249816683447139.wav	0.067	Version have only purchased the Good Bank of Northern Rock, not the Asset Management Company.
en_us	10064500262384950128.wav	0.000	With this arrangement in place, this freedom might end.
en_us	10076295351541615719.wav	0.031	Its status declined during the 12th century, mainly due to the fact that crusaders had returned bearing gifts such as silks and spices that were valued more than what Byzantine markets offered.
en_us	10107574418864810960.wav	0.133	The civilization flourished in the basins of the Indus River, that wherefore it derives its name.
en_us	10109047836843726801.wav	0.000	It was developed by John Smith in the 1970s to help inexperienced folders or those with limited motor skills.
en_us	10112614893743012060.wav	0.000	For some, understanding something about how aircraft work and what happens during a flight may help to overcome a fear which is based on the unknown or on not being in control.
en_us	10115446576219285542.wav	0.148	The original bill was drafted by former mayor of San Paolo, Marto Supplice. The proposed legislation, after being amended, is now in the hands of Roberto Jefferson.
en_us	10116315163739194879.wav	0.000	Massa is due to be out for at least the rest of the 2009 season.
en_us	10119824476201509836.wav	0.053	There were protests worldwide, several criminal prosecutions, and the leaders of the governments of Iceland and Pakistan were both resigned.
en_us	10130964042387977789.wav	0.000	Despite his comments, he said he will be supporting the British competitors at the 2012 Olympics being held in London.
